URLs,Frequency,Dates
snopes.com/bla,104,"['2017-08-28T17:04:05', '2017-08-28T18:59:42', '2017-08-28T19:13:25', '2017-08-28T19:33:54', '2017-08-28T21:05:20', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:09:36', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:10:00', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:45:18', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T23:15:31', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-29T00:58:54', '2017-08-29T01:34:53', '2017-08-29T01:36:28', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-29T03:09:32', '2017-08-29T03:18:29', '2017-08-29T03:22:20', '2017-08-28T21:07:17', '2017-08-28T21:07:17', '2017-08-29T04:16:54', '2017-08-29T04:51:44', '2017-08-29T04:52:44', '2017-08-28T21:07:17', '2017-08-29T12:00:17', '2017-08-29T12:04:36', '2017-08-28T21:07:17', '2017-08-29T13:38:34', '2017-08-29T13:49:49', '2017-08-29T14:01:57', '2017-08-29T14:01:57', '2017-08-29T14:02:28', '2017-08-29T14:43:26', '2017-08-29T15:18:36', '2017-08-30T00:32:13', '2017-08-30T00:38:13', '2017-08-30T15:14:14', '2017-08-30T17:20:56', '2017-08-31T14:44:09', '2017-08-31T15:59:23', '2017-08-31T15:59:23', '2017-08-31T16:35:49', '2017-08-31T16:35:49', '2017-08-31T16:35:49', '2017-08-31T16:35:49', '2017-08-31T16:35:49', '2017-08-30T00:38:13', '2017-08-31T19:08:28', '2017-08-31T20:10:09', '2017-09-01T00:44:51', '2017-09-01T02:15:55', '2017-09-01T02:19:22', '2017-09-01T05:29:41', '2017-09-01T17:07:07', '2017-09-01T19:24:44', '2017-09-01T23:16:26', '2017-09-02T12:42:03', '2017-09-02T19:45:23', '2017-09-02T23:59:51', '2017-09-03T00:14:04', '2017-09-03T01:36:18', '2017-09-03T18:21:32', '2017-09-03T18:48:55', '2017-09-03T20:51:04', '2017-09-07T10:00:36']"
trib.al/wnc0G8X,37,"['2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:09:10', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56', '2017-08-28T18:05:56']"
ow.ly/RIHO30eQu,21,"['2017-09-01T15:15:13', '2017-09-01T15:15:13', '2017-09-01T15:15:14', '2017-09-01T15:15:23', '2017-09-01T15:15:14', '2017-09-01T15:15:14', '2017-09-01T15:15:14', '2017-09-01T15:15:23', '2017-09-01T15:15:23', '2017-09-01T15:15:14', '2017-09-01T15:15:14', '2017-09-01T15:15:13', '2017-09-01T15:15:13', '2017-09-01T15:15:06', '2017-09-01T15:15:14', '2017-09-01T15:15:23', '2017-09-01T15:15:13', '2017-09-01T15:15:14', '2017-09-01T15:15:14', '2017-09-01T15:15:13', '2017-09-01T15:15:13']"
ift.tt/2gkw9Ec,5,"['2017-08-28T18:07:38', '2017-08-28T18:09:16', '2017-08-28T18:09:08', '2017-08-28T18:11:20', '2017-08-28T18:21:19']"
snopes.com/bla,4,"['2017-08-28T19:22:32', '2017-08-29T13:59:53', '2017-08-30T17:45:59', '2017-08-31T17:01:17']"
snopes.com/bla,3,"['2017-08-28T18:13:56', '2017-08-28T18:13:54', '2017-08-28T18:45:05']"
goo.gl/fb/ZFuQt,3,"['2017-08-28T18:06:53', '2017-08-28T18:08:12', '2017-08-28T18:06:53']"
twitter.com/i/w,2,"['2017-08-28T23:25:54', '2017-08-28T23:29:28']"
ow.ly/K7pZ30eSn,1,['2017-09-03T13:40:04']
snopes.com/bla,1,['2017-09-02T19:47:18']
